mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_subsample;param_objective;param_n_estimators;param_min_child_weight;param_max_depth;param_learning_rate;param_colsample_bytree;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
6.168;0.137;0.030;0.005;0.8;reg:squarederror;200;5;7;0.01;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.006;0.002;-0.000;0.015;0.003;0.008;20
1.589;0.051;0.014;0.005;0.8;reg:squarederror;100;3;5;0.05;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.007;0.006;0.001;0.010;0.002;0.006;21
2.598;0.020;0.026;0.002;0.5;reg:squarederror;200;10;9;0.01;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.004;0.006;0.001;0.007;0.002;0.004;22
1.445;0.040;0.016;0.002;0.8;reg:squarederror;100;5;5;0.05;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.007;0.010;0.002;0.004;0.002;0.006;23
4.383;0.088;0.019;0.001;0.8;reg:squarederror;200;1;5;0.01;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.005;0.003;-0.003;0.014;0.002;0.008;24
1.793;0.032;0.011;0.002;0.7;reg:squarederror;100;1;3;0.05;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.004;0.006;0.001;0.005;0.002;0.004;25
2.267;0.043;0.022;0.006;0.5;reg:squarederror;200;5;3;0.05;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.25};0.003;0.011;-0.004;-0.003;0.002;0.006;26
4.578;0.080;0.022;0.002;1.0;reg:squarederror;200;5;5;0.01;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.006;0.003;-0.004;0.014;0.002;0.008;27
7.768;0.162;0.051;0.027;0.7;reg:squarederror;200;3;9;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.009;0.004;-0.004;0.016;0.002;0.009;28
1.405;0.069;0.015;0.004;0.7;reg:squarederror;100;1;5;0.05;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.008;0.017;-0.005;0.001;0.001;0.009;29
4.986;0.015;0.028;0.005;0.8;reg:squarederror;200;5;9;0.01;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.005;0.000;-0.004;0.011;0.001;0.006;30
3.744;0.020;0.033;0.003;0.7;reg:squarederror;200;10;9;0.01;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.007;0.004;-0.003;0.008;0.001;0.006;31
1.546;0.005;0.010;0.000;0.7;reg:squarederror;100;3;5;0.05;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.017;0.008;-0.002;0.012;0.000;0.011;32
5.769;0.100;0.027;0.007;0.7;reg:squarederror;200;3;3;0.01;1.0;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.003;0.001;-0.007;0.011;0.000;0.007;33
