mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_subsample;param_objective;param_n_estimators;param_min_child_weight;param_max_depth;param_learning_rate;param_colsample_bytree;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
3.073;0.036;0.016;0.002;1.0;reg:squarederror;200;10;3;0.1;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.5};-0.040;-0.006;-0.021;-0.022;-0.022;0.012;84
2.792;0.038;0.026;0.004;1.0;reg:squarederror;200;1;5;0.05;0.25;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.038;-0.006;-0.027;-0.019;-0.023;0.012;85
3.809;0.074;0.027;0.005;0.5;reg:squarederror;200;10;5;0.05;0.5;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.028;-0.017;-0.020;-0.026;-0.023;0.005;86
1.938;0.062;0.019;0.001;0.5;reg:squarederror;100;1;9;0.05;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.018;-0.009;-0.033;-0.031;-0.023;0.010;87
3.251;0.021;0.017;0.002;1.0;reg:squarederror;100;3;7;0.05;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.037;-0.015;-0.027;-0.014;-0.023;0.009;88
1.818;0.042;0.022;0.008;0.8;reg:squarederror;100;1;5;0.1;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.25};-0.027;-0.004;-0.037;-0.025;-0.023;0.012;89
4.202;0.067;0.025;0.009;0.7;reg:squarederror;200;1;5;0.05;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.026;-0.006;-0.026;-0.037;-0.024;0.011;90
3.893;0.079;0.022;0.004;0.8;reg:squarederror;100;5;9;0.05;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.038;-0.014;-0.016;-0.037;-0.026;0.011;91
7.089;0.123;0.020;0.001;1.0;reg:squarederror;200;5;5;0.05;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.050;-0.016;-0.024;-0.018;-0.027;0.014;92
3.524;0.035;0.020;0.001;0.7;reg:squarederror;100;3;9;0.05;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.052;-0.008;-0.020;-0.031;-0.028;0.016;93
3.133;0.229;0.018;0.005;0.7;reg:squarederror;200;5;3;0.1;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.5};-0.035;-0.018;-0.040;-0.018;-0.028;0.010;94
4.026;0.082;0.022;0.004;0.5;reg:squarederror;200;3;5;0.05;0.5;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.043;-0.013;-0.033;-0.023;-0.028;0.011;95
3.887;0.082;0.020;0.000;1.0;reg:squarederror;100;5;9;0.05;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.043;-0.024;-0.029;-0.018;-0.029;0.009;96
3.012;0.086;0.023;0.012;0.5;reg:squarederror;100;3;7;0.05;0.7;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.042;-0.030;-0.025;-0.023;-0.030;0.007;97
3.404;0.091;0.027;0.002;0.7;reg:squarederror;200;3;7;0.05;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.043;-0.021;-0.027;-0.033;-0.031;0.008;98
1.199;0.019;0.012;0.003;1.0;reg:squarederror;100;5;3;0.25;0.25;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.25, 'colsample_bytree': 0.25};-0.044;-0.021;-0.040;-0.022;-0.032;0.010;99
3.766;0.061;0.016;0.001;0.8;reg:squarederror;200;3;3;0.1;0.7;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7};-0.039;-0.016;-0.047;-0.026;-0.032;0.012;100
7.138;0.098;0.022;0.004;0.7;reg:squarederror;200;3;5;0.05;1.0;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.050;-0.025;-0.043;-0.016;-0.034;0.013;101
1.174;0.018;0.015;0.001;0.8;reg:squarederror;100;10;3;0.25;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.25, 'colsample_bytree': 0.25};-0.030;-0.014;-0.046;-0.045;-0.034;0.013;102
3.134;0.063;0.017;0.002;0.5;reg:squarederror;200;10;3;0.1;0.7;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7};-0.041;-0.027;-0.030;-0.040;-0.034;0.006;103
7.045;0.060;0.025;0.002;1.0;reg:squarederror;200;10;7;0.05;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.053;-0.019;-0.038;-0.031;-0.035;0.012;104
5.347;0.071;0.027;0.003;0.8;reg:squarederror;200;10;7;0.05;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.050;-0.011;-0.032;-0.051;-0.036;0.016;105
1.641;0.054;0.016;0.002;0.5;reg:squarederror;100;10;7;0.1;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.25};-0.035;-0.014;-0.037;-0.060;-0.037;0.016;106
4.729;0.056;0.016;0.002;0.7;reg:squarederror;100;1;7;0.05;1.0;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.044;-0.024;-0.032;-0.048;-0.037;0.009;107
4.228;0.167;0.017;0.002;0.5;reg:squarederror;100;10;7;0.01;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.044;-0.043;-0.042;-0.023;-0.038;0.009;108
2.155;0.025;0.014;0.002;0.8;reg:squarederror;100;3;5;0.01;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.045;-0.041;-0.044;-0.023;-0.038;0.009;109
2.180;0.042;0.016;0.001;0.7;reg:squarederror;100;3;5;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.044;-0.041;-0.046;-0.023;-0.038;0.009;110
3.460;0.044;0.015;0.001;0.7;reg:squarederror;100;5;5;0.01;1.0;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.045;-0.042;-0.044;-0.023;-0.038;0.009;111
3.534;0.059;0.024;0.010;0.8;reg:squarederror;100;10;7;0.01;0.7;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.045;-0.040;-0.044;-0.025;-0.039;0.008;112
1.856;0.197;0.018;0.005;0.5;reg:squarederror;100;5;3;0.01;0.5;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.043;-0.040;-0.046;-0.025;-0.039;0.008;113
1.572;0.033;0.010;0.002;0.8;reg:squarederror;100;5;3;0.01;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.044;-0.041;-0.046;-0.024;-0.039;0.008;114
1.697;0.035;0.014;0.002;0.5;reg:squarederror;100;5;3;0.01;0.7;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.044;-0.041;-0.046;-0.025;-0.039;0.008;115
2.880;0.098;0.028;0.009;0.7;reg:squarederror;100;5;7;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.048;-0.039;-0.046;-0.022;-0.039;0.011;116
1.549;0.006;0.013;0.001;0.7;reg:squarederror;100;5;3;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.043;-0.042;-0.046;-0.025;-0.039;0.008;117
2.106;0.044;0.014;0.002;0.5;reg:squarederror;100;10;3;0.01;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.044;-0.042;-0.046;-0.024;-0.039;0.009;118
5.038;0.045;0.022;0.002;0.5;reg:squarederror;100;10;9;0.01;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.046;-0.044;-0.043;-0.023;-0.039;0.009;119
3.025;0.056;0.016;0.001;0.7;reg:squarederror;100;3;7;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.046;-0.042;-0.046;-0.021;-0.039;0.010;120
1.588;0.042;0.012;0.002;0.7;reg:squarederror;100;3;3;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.043;-0.042;-0.046;-0.025;-0.039;0.008;121
1.374;0.017;0.012;0.001;0.7;reg:squarederror;100;10;3;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.044;-0.041;-0.045;-0.025;-0.039;0.008;122
1.414;0.012;0.013;0.005;0.5;reg:squarederror;100;3;5;0.01;0.5;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.046;-0.040;-0.046;-0.025;-0.039;0.009;123
1.638;0.030;0.017;0.004;0.7;reg:squarederror;100;5;7;0.1;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.25};-0.039;-0.030;-0.044;-0.045;-0.039;0.006;124
3.180;0.022;0.024;0.021;0.5;reg:squarederror;100;5;7;0.01;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.049;-0.043;-0.044;-0.022;-0.039;0.010;125
2.663;0.105;0.014;0.002;0.7;reg:squarederror;100;3;7;0.01;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.046;-0.043;-0.046;-0.022;-0.040;0.010;126
2.434;0.056;0.017;0.009;0.8;reg:squarederror;100;10;3;0.01;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.045;-0.042;-0.047;-0.025;-0.040;0.009;127
2.878;0.092;0.029;0.015;0.8;reg:squarederror;100;1;7;0.01;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.047;-0.044;-0.047;-0.022;-0.040;0.011;128
1.442;0.032;0.014;0.003;0.7;reg:squarederror;100;3;5;0.01;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.046;-0.041;-0.047;-0.027;-0.040;0.008;129
1.557;0.025;0.014;0.003;1.0;reg:squarederror;100;5;5;0.01;0.25;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.049;-0.042;-0.048;-0.024;-0.040;0.010;130
2.869;0.096;0.015;0.002;0.7;reg:squarederror;100;1;7;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.047;-0.044;-0.049;-0.022;-0.040;0.011;131
0.884;0.050;0.009;0.001;0.8;reg:squarederror;100;3;3;0.01;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.045;-0.043;-0.048;-0.026;-0.041;0.009;132
2.089;0.040;0.012;0.003;0.5;reg:squarederror;100;1;3;0.01;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.044;-0.043;-0.048;-0.027;-0.041;0.008;133
2.396;0.024;0.012;0.001;0.5;reg:squarederror;100;3;7;0.01;0.7;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.049;-0.043;-0.047;-0.024;-0.041;0.010;134
3.591;0.072;0.015;0.003;0.5;reg:squarederror;100;1;5;0.01;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.047;-0.045;-0.046;-0.025;-0.041;0.009;135
2.549;0.050;0.014;0.004;1.0;reg:squarederror;100;5;3;0.01;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.043;-0.044;-0.050;-0.026;-0.041;0.009;136
4.467;0.097;0.019;0.005;0.7;reg:squarederror;100;1;7;0.01;1.0;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.049;-0.045;-0.046;-0.024;-0.041;0.010;137
1.620;0.024;0.018;0.002;0.7;reg:squarederror;100;10;7;0.01;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.047;-0.042;-0.048;-0.028;-0.041;0.008;138
4.946;0.217;0.014;0.001;0.8;reg:squarederror;100;3;7;0.01;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.051;-0.045;-0.046;-0.024;-0.041;0.010;139
1.225;0.010;0.012;0.000;0.8;reg:squarederror;100;3;7;0.01;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.049;-0.041;-0.048;-0.027;-0.041;0.009;140
5.587;0.142;0.025;0.002;1.0;reg:squarederror;200;1;7;0.05;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.054;-0.025;-0.049;-0.038;-0.042;0.011;141
1.861;0.040;0.020;0.002;0.5;reg:squarederror;100;10;9;0.01;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.048;-0.039;-0.048;-0.032;-0.042;0.007;142
3.744;0.102;0.017;0.004;1.0;reg:squarederror;100;10;5;0.01;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.050;-0.045;-0.048;-0.025;-0.042;0.010;143
2.485;0.007;0.012;0.000;1.0;reg:squarederror;100;10;3;0.25;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.25, 'colsample_bytree': 1.0};-0.062;-0.024;-0.051;-0.032;-0.042;0.015;144
0.877;0.062;0.008;0.000;0.8;reg:squarederror;100;5;3;0.25;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.25, 'colsample_bytree': 0.25};-0.042;-0.025;-0.041;-0.062;-0.043;0.013;145
4.566;0.041;0.022;0.005;1.0;reg:squarederror;100;5;9;0.01;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.050;-0.046;-0.047;-0.028;-0.043;0.009;146
6.344;0.206;0.021;0.002;0.7;reg:squarederror;100;1;9;0.05;1.0;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.042;-0.036;-0.030;-0.063;-0.043;0.012;147
3.529;0.159;0.024;0.005;1.0;reg:squarederror;100;3;9;0.01;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.049;-0.046;-0.051;-0.026;-0.043;0.010;148
7.063;0.111;0.038;0.005;1.0;reg:squarederror;200;10;9;0.05;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.055;-0.030;-0.048;-0.040;-0.043;0.009;149
1.629;0.059;0.020;0.004;1.0;reg:squarederror;100;1;7;0.01;0.25;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.052;-0.045;-0.050;-0.028;-0.044;0.009;150
1.647;0.047;0.017;0.002;0.5;reg:squarederror;100;1;7;0.01;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.050;-0.043;-0.052;-0.030;-0.044;0.009;151
3.649;0.043;0.036;0.004;0.5;reg:squarederror;200;10;9;0.05;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.040;-0.019;-0.050;-0.067;-0.044;0.017;152
3.791;0.078;0.014;0.005;1.0;reg:squarederror;100;3;5;0.01;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.050;-0.047;-0.049;-0.029;-0.044;0.009;153
3.988;0.346;0.013;0.002;0.7;reg:squarederror;100;3;5;0.1;1.0;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0};-0.056;-0.035;-0.047;-0.045;-0.046;0.007;154
5.916;0.031;0.026;0.004;0.5;reg:squarederror;200;10;7;0.05;0.7;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.045;-0.047;-0.048;-0.046;-0.046;0.001;155
2.507;0.149;0.028;0.009;1.0;reg:squarederror;100;1;9;0.01;0.25;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.056;-0.046;-0.052;-0.033;-0.047;0.009;156
1.851;0.024;0.026;0.010;0.5;reg:squarederror;100;1;9;0.01;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.054;-0.046;-0.057;-0.037;-0.049;0.008;157
1.267;0.061;0.014;0.001;0.8;reg:squarederror;100;1;3;0.25;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.25, 'colsample_bytree': 0.25};-0.046;-0.029;-0.043;-0.083;-0.050;0.020;158
3.810;0.085;0.016;0.003;0.8;reg:squarederror;100;3;5;0.1;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0};-0.058;-0.050;-0.050;-0.050;-0.052;0.003;159
2.613;0.140;0.019;0.004;0.5;reg:squarederror;100;1;5;0.1;0.7;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7};-0.047;-0.043;-0.066;-0.055;-0.053;0.009;160
6.689;0.049;0.023;0.003;1.0;reg:squarederror;100;3;9;0.05;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.061;-0.039;-0.063;-0.057;-0.055;0.009;161
1.849;0.103;0.015;0.001;0.7;reg:squarederror;100;10;3;0.25;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.25, 'colsample_bytree': 0.7};-0.044;-0.027;-0.085;-0.064;-0.055;0.022;162
4.908;0.074;0.027;0.004;0.5;reg:squarederror;200;3;7;0.05;0.5;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.061;-0.044;-0.048;-0.071;-0.056;0.010;163
2.740;0.050;0.023;0.004;0.8;reg:squarederror;200;1;5;0.1;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.25};-0.054;-0.036;-0.074;-0.064;-0.057;0.014;164
2.248;0.055;0.019;0.002;0.8;reg:squarederror;100;1;9;0.1;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.25};-0.066;-0.030;-0.060;-0.077;-0.058;0.017;165
3.162;0.163;0.021;0.007;0.7;reg:squarederror;100;1;7;0.1;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.5};-0.079;-0.038;-0.048;-0.069;-0.058;0.016;166
2.592;0.029;0.020;0.005;0.5;reg:squarederror;200;5;5;0.1;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.25};-0.058;-0.050;-0.049;-0.079;-0.059;0.012;167
2.178;0.075;0.027;0.014;1.0;reg:squarederror;100;1;9;0.1;0.25;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.25};-0.069;-0.027;-0.064;-0.080;-0.060;0.020;168
5.280;0.064;0.028;0.014;1.0;reg:squarederror;200;10;5;0.1;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7};-0.079;-0.032;-0.062;-0.074;-0.062;0.018;169
